申請者－法人種別,申請者－名称,申請者－郵便番号,申請者－住所,,申請者－電話番号,事業所－名称,事業所－郵便番号,事業所－地域,事業所－住所,事業所－電話番号,ｻｰﾋﾞｽ種類,事業所番号,指定年月日
社団・財団,一般社団法人ローランズプラス,1510051,東京都渋谷区,千駄ヶ谷３－５４－１５　ベルズ原宿ビル１階,03-6434-0607,ローランズハウス,1520034,東京都目黒区,緑が丘２－２０－４アルス緑が丘１０５,03-5726-9448,共同生活援助,1321001420,2019/10/1
営利法人,株式会社はっぴーライフ,1800002,東京都武蔵野市,吉祥寺東町１－１７－１８,0422-28-5051,ちゃお杉並和泉,1680063,東京都杉並区,＊,0422-28-5051,共同生活援助,1321503094,2019/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人かつしか夢福祉会,1250032,東京都葛飾区,水元三丁目３番１３－４０８号クレドール水元公園,03-5876-6147,しばまた夢の家Ⅰ,1250052,東京都葛飾区,＊,03-5876-6147,共同生活援助,1322202746,2019/10/1
営利法人,合同会社ソフィアゲート,1320035,東京都江戸川区,平井１－１２－３－４０１,03-5875-2005,わおんグループホーム西瑞江,1340015,東京都江戸川区,西瑞江５－６－８６,03-6456-0439,共同生活援助,1322304039,2019/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人アミティ町田けやき,1940013,東京都町田市,原町田４－２８－１　町田市立国際版画美術館内,042-728-8062,りあん,1940043,東京都町田市,成瀬台４－６－２,042-860-6325,共同生活援助,1323202406,2019/10/1
社団・財団,一般社団法人つむぎ,1940021,東京都町田市,中町４－１４－１１ル・ベント中町２０３,042-860-3271,グループホームつむぎ,1950062,東京都町田市,＊,042-860-3271,共同生活援助,1323202414,2019/10/1
営利法人,ＤＣＣ株式会社,1940045,東京都町田市,南成瀬１－１９－１８,5052422759,ROSE・AI・MUSIC,1940045,東京都町田市,南成瀬１－１９－１８,5052422759,共同生活援助,1323202422,2019/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人羽村市手をつなぐ親の会,2050003,東京都羽村市,緑ケ丘２－１－１６,042-578-9281,グループホームすみれ,2050016,東京都羽村市,羽加美１－３１－４,042-533-5081,共同生活援助,1325000295,2019/10/1
社団・財団,一般社団法人Ｍエイル,1650027,東京都中野区,野方２－６４－６,03-6881-8319,イリス野方,1650027,東京都中野区,野方２－６４－６,050-11996210,共同生活援助,1321401968,2019/11/1
営利法人,株式会社ひなた,1250062,東京都葛飾区,青戸７－１１－１３－２０１号,03-6657-7399,ひなたホーム,1240013,東京都葛飾区,東立石１－８－９,03-6657-7399,共同生活援助,1322202753,2019/11/1
非営利法人（ＮＰＯ）,特定非営利活動法人百々の木,1910052,東京都日野市,東豊田１－１７－１,042-843-4708,Method,1830032,東京都府中市,本宿町１－４６－２　３階,042-306-7593,共同生活援助,1322901529,2019/11/1
営利法人,株式会社ポルタオーラ,2140023,神奈川県川崎市多摩区,長尾７－３１－６,5053638100,グループホームわおん町田中央,1940036,東京都町田市,＊,5053638100,共同生活援助,1323202430,2019/11/1
営利法人,合同会社LIVENOW,1770045,東京都練馬区,石神井台３－２６－８－１０４,5053728825,まんまる,1780062,東京都練馬区,＊,5053728825,共同生活援助,1322004027,2019/12/1
社団・財団,一般社団法人楠の木会,1130022,東京都文京区,千駄木４－２３－４,03-5851-7291,のんのハウス,1210063,東京都足立区,東保木間２－８－１６章江弐番館,03-5851-8520,共同生活援助,1322104371,2019/12/1
営利法人,3Ｓ　Ｅｄｕｃａｔｉｏｎ株式会社,1330056,東京都江戸川区,南小岩２-１１-１６,8041392174,浩心会南小岩２丁目,1330056,東京都江戸川区,南小岩２－１１－１６,8041392174,共同生活援助,1322304054,2019/12/1
社団・財団,一般社団法人介護グループふれあい,1900021,東京都立川市,羽衣町２－４１－１,042-843-0582,クオーレ武蔵台グループホーム,1830042,東京都府中市,武蔵台１－２２－５０,042-577-7750,共同生活援助,1322901537,2019/12/1
社会福祉法人（社協以外）,社会福祉法人東京仁和会,1960003,東京都昭島市,松原町２－７－１４,042-519-8199,グループホーム　メーア,1960003,東京都昭島市,＊,042-519-8199,共同生活援助,1323000453,2019/12/1
社団・財団,一般社団法人楠の木会,1130022,東京都文京区,千駄木４－２３－４,03-5851-7291,のんのハウス３,1110053,東京都台東区,浅草橋２－１６－３,03-5851-8520,共同生活援助,1320600644,2020/1/1
営利法人,株式会社和泉,1420063,東京都品川区,荏原四丁目７番１４号,03-5700-7198,障害者グループホームいずみ,1460085,東京都大田区,久が原５－８－８,03-5700-7198,共同生活援助,1321103564,2020/1/1
営利法人,株式会社サンハーツgroup,1350051,東京都江東区,枝川１－１５－９－１０１４,9097025600,サンハーツの家,1330056,東京都江戸川区,南小岩４－５－１７,9097025600,共同生活援助,1322304062,2020/1/1
社団・財団,一般社団法人ここの空,1780061,東京都練馬区,大泉学園町５－１８－３６,7038487685,グループホームここの空,1780061,東京都練馬区,＊,070-38487685,共同生活援助,1322004035,2020/2/1
営利法人,ジェイ・ティ・エム株式会社,1210822,東京都足立区,西竹の塚１-１７-２２,03-5877-8666,なでしこ園六町ハウス,1210062,東京都足立区,南花畑２－２５－２,03-5686-8477,共同生活援助,1322104389,2020/2/1
営利法人,いいなホーム株式会社,2150005,神奈川県川崎市麻生区,千代ケ丘１－２０－１００,044-440-3037,グループホームいいな多摩,2060021,東京都多摩市,＊,042-357-8117,共同生活援助,1324700754,2020/2/1
社団・財団,一般社団法人ほし,1210076,東京都足立区,平野３－１４－１９,03-5686-7257,障がい者グループホームほし,1210823,東京都足立区,伊興４－７－４サンライズ朝香１階,03-6326-0187,共同生活援助,1322104397,2020/3/1
営利法人,ponte　care合同会社,1310044,東京都墨田区,文花３－１７－１６－１０６,03-4296-7002,ポンテホーム松江,1320025,東京都江戸川区,松江３－１９－２０,03-6338-4039,共同生活援助,1322304070,2020/3/1
営利法人,ベリウェル株式会社,1980013,東京都青梅市,木野下２－１７６－１,0428-78-0701,グループホーム　ひまわり,1980013,東京都青梅市,木野下２－１７６－１,0428-78-0701,共同生活援助,1322800861,2020/3/1
営利法人,合同会社ｎｅｓｔ,2160023,神奈川県川崎市宮前区,けやき平１０－１－５０７,9017794446,グループホームかんかん,1950062,東京都町田市,＊,9044138015,共同生活援助,1323202448,2020/3/1
社団・財団,一般社団法人Ｉｂａｓｈｏ,1850033,東京都国分寺市,内藤２－２５－２６,9041339430,わらいぶ西国分寺,1850013,東京都国分寺市,西恋ケ窪２－２１－１６,042-313-8956,共同生活援助,1323700771,2020/3/1
社会福祉法人（社協以外）,社会福祉法人知恵の光会,2380022,神奈川県横須賀市,公郷町３－６９－１,046-852-4320,ゴムまり,1440043,東京都大田区,羽田４―４－１８,03-6715-1218,共同生活援助,1321103572,2020/4/1
社団・財団,一般社団法人コミュニティーサポート,2230064,神奈川県横浜市港北区,下田町４－２　Ｃ－４０４,9012014590,グループホーム　ランタナ,1440055,東京都大田区,仲六郷２－２－４,9012014590,共同生活援助,1321103580,2020/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人ねこの手,1640003,東京都中野区,東中野１－３８－１２　コーポ光１０１,03-3360-4461,グループホーム　にじいろ,1650026,東京都中野区,新井４－２０－３　須田ビル１・２階１０１,03-5942-9022,共同生活援助,1321401976,2020/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人しらゆり,1900023,東京都立川市,柴崎町３－１１－９,042-525-0022,グループホーム　moco,1900022,東京都立川市,錦町２－６－１６,042-518-9620,共同生活援助,1322501386,2020/4/1
営利法人,合同会社はんず,1980171,東京都青梅市,二俣尾２-４５４-３,8076010313,はんずホーム,1980086,東京都青梅市,大柳町１５５２－５,0428-27-1233,共同生活援助,1322800879,2020/4/1
営利法人,株式会社オフィス宮寺,3570054,埼玉県飯能市,大字下直竹１１５６－２,042-974-1283,グループホーム　ポトス,1850001,東京都国分寺市,＊,8065658036,共同生活援助,1323700789,2020/4/1
営利法人,株式会社アシスト,2020002,東京都西東京市,ひばりが丘北３－４－３－Ｃ,042-439-8977,憩いの家　えんじぇる,2020005,東京都西東京市,＊,042-439-8847,共同生活援助,1323900892,2020/4/1
営利法人,エイムトップ株式会社,2070013,東京都東大和市,向原１－５－３,042-516-9565,エイムトップ,2070013,東京都東大和市,向原１－５－３,042-516-9565,共同生活援助,1324300605,2020/4/1
営利法人,株式会社桜花,2010002,東京都狛江市,東野川４－２５ー５,03-3480-2256,グループホーム　桜花,1460085,東京都大田区,久が原１－３－４,03-6313-6024,共同生活援助,1321103598,2020/5/1
営利法人,トラストテック株式会社,200015,岩手県盛岡市,本町通２－１７－１１,019-656-9311,ドリームハウスキャット,1140016,東京都北区,＊,03-6662-4535,共同生活援助,1322202761,2020/5/1
営利法人,Ａｍｕ．あむ株式会社,1560052,東京都世田谷区,経堂２-６-６,03-6304-3090,Ａｍｕ．あむハウス調布,1820025,東京都調布市,＊,03-6304-3090,共同生活援助,1323101236,2020/5/1
非営利法人（ＮＰＯ）,特定非営利活動法人あんしんネットワーク,1690072,東京都新宿区,大久保３－８－２,03-6630-7489,ATLIFE調布・狛江,1820024,東京都調布市,＊,042-430-4004,共同生活援助,1323101244,2020/5/1
営利法人,わんビート合同会社,2460023,神奈川県横浜市瀬谷区,阿久和東２－４８－９,045-391-2252,グループホームわおん町田ひろば,1940037,東京都町田市,木曽西５－２０－３３,042-792-8268,共同生活援助,1323202455,2020/5/1
営利法人,フェリス訪問介護合同会社,1080074,東京都港区,高輪２－１－１１－１１９,03-6277-0739,かげとも　グループホーム,1080074,東京都港区,高輪３-１６-１,03-6456-2496,共同生活援助,1320301581,2020/6/1
営利法人,ハイジ合同会社,2300017,神奈川県横浜市鶴見区,東寺尾中台３０-１-４０２,045-582-5124,グループホームハイジの家,1440051,東京都大田区,西蒲田１-１４-８,03-6303-5716,共同生活援助,1321103606,2020/6/1
営利法人,セレリアンス株式会社,1940022,東京都町田市,森野４－１５－１２,042-851-8800,セレリアンス・ハウス町田鶴川,1950061,東京都町田市,＊,042-860-3977,共同生活援助,1323202463,2020/6/1
営利法人,一般社団法人ディスカバリー,2520301,神奈川県相模原市南区,鵜野森１－２８－１９Ｅ－２０１,042-851-7444,ディスカバリーホーム,1940021,東京都町田市,中町１－２８－８ＤＨＱスクエア,042-851-7444,共同生活援助,1323202471,2020/6/1
営利法人,一般社団法人発達ラボ国分寺,1850005,東京都国分寺市,並木町１-２４-５１,042-403-3612,ほっと東戸倉,1850002,東京都国分寺市,＊,042-324-2655,共同生活援助,1323700797,2020/6/1
その他,株式会社我流事典,1700002,東京都豊島区,巣鴨２－５－１２,03-5944-5588,ワン・ライフ・ホーム,1730022,東京都板橋区,仲町３９－１５,9098524638,共同生活援助,1320501057,2020/7/1
営利法人,株式会社サードステージ,2420006,神奈川県大和市,南林間四丁目６番１７号,046-278-1787,ともがき渋谷,1510071,東京都渋谷区,本町６丁目２８番１２号　ＳＨＩＢＵＹＡ六号坂４階５,03-3379-1910,共同生活援助,1321301341,2020/7/1
社団・財団,一般社団法人つなぐ,1730037,東京都板橋区,小茂根２－９－１３,9034015366,つなぐの家,1730037,東京都板橋区,小茂根２－３－１５　２、３Ｆ,03-6909-4279,共同生活援助,1321903567,2020/7/1
営利法人,一般社団法人ふくろうの会,1040061,東京都中央区,銀座８－１６－５,03-3549-9856,ふくろうの会,1200013,東京都足立区,弘道１－２１－２３,03-5888-7370,共同生活援助,1322104405,2020/7/1
社団・財団,一般社団法人ｌｙｋｋｅ,1920063,東京都八王子市,元横山町２－１５－４　ライオンズシティ八王子２１７号,042-686-2833,マイホーム　ピュット,1930834,東京都八王子市,東浅川町５２７－６　豊徳エルム高尾１１０号室,042-673-6955,共同生活援助,1322404508,2020/7/1
営利法人,合同会社ボアソルチ,2070021,東京都東大和市,立野１－２８－１７　上水の杜たての２階２０４号室,042-507-7966,グループホーム　マアル,2070021,東京都東大和市,＊,042-516-9835,共同生活援助,1324300613,2020/7/1
営利法人,合同会社Efriends,2520212,神奈川県相模原市中央区,宮下２－２１－４,042-815-1822,あんさんぶるＨＯＵＳＥ,2060801,東京都稲城市,大丸１３９２,8072331822,共同生活援助,1324800273,2020/7/1
営利法人,合同会社音と生活,1650024,東京都中野区,松が丘２－１２－９,8041952480,グループホーム音と生活,1650032,東京都中野区,鷺宮４－３－１６,8041952480,共同生活援助,1321401984,2020/8/1
社会福祉法人（社協以外）,社会福祉法人東京都手をつなぐ育成会,1600023,東京都新宿区,西新宿７－８－１０（オークラヤビル内）,03-5389-2600,ｎｉｉｍａ,1710014,東京都豊島区,池袋２－２４－１７,03-6384-4755,共同生活援助,1321601591,2020/8/1
営利法人,株式会社あかりや,1930932,東京都八王子市,緑町３５３－６６,042-649-7220,グループホームあかりや,1930932,東京都八王子市,緑町３５３－６６,042-649-7220,共同生活援助,1322404516,2020/8/1
非営利法人（ＮＰＯ）,特定非営利活動法人やすらぎ,1930834,東京都八王子市,東浅川町５１５－１,042-673-5456,やすらぎ椚田,1930942,東京都八王子市,椚田町１４８－１,042-673-7361,共同生活援助,1322404524,2020/8/1
営利法人,株式会社ビーテック,1440034,東京都大田区,西糀谷４－３１－１７,03-3745-6047,レインボーズアパートメント武蔵村山,2080022,東京都武蔵村山市,榎２－７０－３,042-569-8912,共同生活援助,1324600475,2020/8/1
非営利法人（ＮＰＯ）,特定非営利活動法人ＮＰＯミライエ,1780065,東京都練馬区,西大泉５－３３－４６,03-3924-5433,絆ホーム　保谷,1780065,東京都練馬区,＊,03-3924-5433,共同生活援助,1322004043,2020/9/1
営利法人,合同会社ＧＲＥＥＮ’Ｓ,1070062,東京都港区,南青山２―２―１５ウィン青山９４２,03-6868-5234,縁家,1230851,東京都足立区,梅田４―２０―１５,9015313527,共同生活援助,1322104421,2020/9/1
営利法人,株式会社アニスピホールディングス,1020074,東京都千代田区,九段南３－１－１,03-6421-2311,わおん障がい者グループホームお花茶屋,1250063,東京都葛飾区,白鳥３－６－１５,8035525937,共同生活援助,1322202779,2020/9/1
非営利法人（ＮＰＯ）,特定非営利活動法人タオ,2790022,千葉県浦安市,今川１－１２－２０,047-316-0234,グループホーム明光,1320021,東京都江戸川区,中央４－２０－２２－１０３,047-329-2288,共同生活援助,1322304088,2020/9/1
社会福祉法人（社協以外）,社会福祉法人東京光の村,1330051,東京都江戸川区,北小岩２－１６７－３,03-5612-2502,東京光の村ホーム,1330051,東京都江戸川区,北小岩５－１８－４,03-5612-2502,共同生活援助,1322304096,2020/9/1
営利法人,鹿島開発株式会社,1870032,東京都小平市,小川町１－３９０－２　第一宮寺ビル１階,042-343-3041,日中サービス支援型グループホーム　やえざくら,1870032,東京都小平市,小川町１-３０２０-７,042-312-3832,共同生活援助,1323401057,2020/9/1
営利法人,合同会社ＳＳＳ,1020076,東京都千代田区,五番町２－１４カーサ五番町２０３,8050907829,グループホームミライエ狛江,2010004,東京都狛江市,岩戸北３－１６－２,7032044133,共同生活援助,1324200417,2020/9/1
営利法人,有限会社よつ葉アイサービスセンター,1640003,東京都中野区,東中野１－３８－１２,03-3227-2623,笑がおの園クローバー,1620814,東京都新宿区,新小川町７－１７　飯田橋三幸ビル７Ｆ８Ｆ,03-3227-2623,共同生活援助,1320200643,2020/10/1
営利法人,株式会社アイリスホーム,5640051,大阪府吹田市,豊津町１番１８号,0120-849-153,アイリスホーム世田谷,1560051,東京都世田谷区,宮坂２－４－１,0120-849-153,共同生活援助,1321204792,2020/10/1
社団・財団,一般社団法人ノード・ジャパン,1670032,東京都杉並区,天沼２－１６－９,03-5335-7701,101ハウス天沼,1670032,東京都杉並区,天沼１－１５－１８（１０２、２０２号室）,03-5335-7701,共同生活援助,1321503102,2020/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人　ジャパンマック,1140023,東京都北区,滝野川６－７６－９エスポワール・オチアイ１階,03-3916-7878,ステップ・ハウス,1730033,東京都板橋区,＊,7043757771,共同生活援助,1321903575,2020/10/1
営利法人,合同会社YuRaLi・２８,1980053,東京都青梅市,駒木町３－５８４－６,8010919356,ゆらりホーム,1980053,東京都青梅市,駒木町１丁目８００番地,8010919356,共同生活援助,1322800887,2020/10/1
社会福祉法人（社協以外）,社会福祉法人大泉旭出学園,1780063,東京都練馬区,東大泉７－２１－３２,03-3925-6166,アン・ファミーユあさひで,1830011,東京都府中市,白糸台１－６０－１５,042-306-7670,共同生活援助,1322901545,2020/10/1
営利法人,株式会社シーニーアンドコー,1500013,東京都渋谷区,恵比寿１－８－３　いとうビル４F,03-5761-5715,シーニーハウス日野,1910012,東京都日野市,日野１４５７－１,042-843-3844,共同生活援助,1323501286,2020/10/1
社団・財団,一般社団法人セ・ラ・ヴィ,1910031,東京都日野市,高幡７２５番地の１　マイロフト１２,9093982625,ショコラホーム,1910002,東京都日野市,新町４－１５－３５,9093982625,共同生活援助,1323501294,2020/10/1
社会福祉法人（社協以外）,社会福祉法人　山鳩会,1890025,東京都東村山市,廻田町１－１５－１,042-397-2700,せせらぎの里,1890026,東京都東村山市,多摩湖町２－５－３６,042-306-2750,共同生活援助,1323600989,2020/10/1
社団・財団,一般社団法人ラルーナ,1510064,東京都渋谷区,上原２-３７-２５　２Ｆ,03-5356-8187,ラルーナ,1650033,東京都中野区,＊,03-5356-8187,共同生活援助,1321401992,2020/11/1
非営利法人（ＮＰＯ）,特定非営利活動法人ホープワールドワイド・ジャパン,1510073,東京都渋谷区,笹塚２－１６－１,03-6300-5240,ホープワールドワイド・ジャパン,1780063,東京都練馬区,＊,03-6300-5240,共同生活援助,1322004050,2020/11/1
営利法人,株式会社アイリスホーム,5640051,大阪府吹田市,豊津町１番１８号,0120-849-153,アイリスホーム練馬,1760003,東京都練馬区,羽沢２-１-１４,0120-849-153,共同生活援助,1322004068,2020/11/1
営利法人,株式会社ＴＳＰ,1230852,東京都足立区,関原１-６-３０,03-5888-7327,グループホーム　ル　シエル,1210814,東京都足立区,六月２-１３-８,03-5888-7327,共同生活援助,1322104439,2020/11/1
社団・財団,一般社団法人かしの木,2880023,千葉県銚子市,高神東町９６５６番地の３,0479-22-3770,グループホーム　かしの木,1330056,東京都江戸川区,南小岩４-１２-５,03-3671-9900,共同生活援助,1322304104,2020/11/1
営利法人,ソーシャルインクルー株式会社,1400013,東京都品川区,南大井６－２５－３,03-6436-8972,ソーシャルインクルーホーム八王子館町,1930944,東京都八王子市,館町２－２,042-673-7863,共同生活援助,1322404532,2020/11/1
非営利法人（ＮＰＯ）,特定非営利活動法人　ＨＡＬ,1570062,東京都世田谷区,南烏山４-１２-４　ワールド物産ビル３０２,03-6750-3150,グループホーム・スマイル三鷹台　,1810001,東京都三鷹市,井の頭２-２７-１８,03-6750-3150,共同生活援助,1322701002,2020/11/1
営利法人,シンセイホールディングス株式会社,1940035,東京都町田市,忠生３-１９-１９,042-851-9877,シンセイ東京,1940035,東京都町田市,忠生３-１９-１９,042-851-9877,共同生活援助,1323202489,2020/11/1
営利法人,マルコテクノロジー株式会社,2760029,千葉県八千代市,村上南5-18-18,047-489-5771,わくわくホーム,1860002,東京都国立市,東４-１９-２２,042-571-0007,共同生活援助,1323800753,2020/11/1
営利法人,株式会社MATATABI,1350043,東京都江東区,塩浜２－７－５－３２１,9093706747,共同生活援助またたび,1310044,東京都墨田区,文花１－４－１６,9093706747,共同生活援助,1320701210,2020/12/1
社団・財団,一般社団法人つつじ,1610033,東京都新宿区,下落合３－７－１１　森本荘３号,03-6908-6496,花菖蒲,1510071,東京都渋谷区,＊,03-6276-7092,共同生活援助,1321301358,2020/12/1
営利法人,株式会社フェイト,1660011,東京都杉並区,梅里２－４０－１５－３０１,03-6324-6718,VOICE,1670023,東京都杉並区,上井草４－２７－２,03-6324-6718,共同生活援助,1321503110,2020/12/1
営利法人,株式会社サードステージ,2420006,神奈川県大和市,南林間四丁目６番１７号,046-278-1787,ともがき練馬,1780063,東京都練馬区,＊,03-5947-5925,共同生活援助,1322004076,2020/12/1
社会福祉法人（社協以外）,社会福祉法人つくしの郷,1200015,東京都足立区,足立３－７－１６－１０１号,03-5647-9261,ハーモニー竹の塚,1210813,東京都足立区,竹の塚１－３２－１,03-5851-9607,共同生活援助,1322104447,2020/12/1
営利法人,株式会社ワンブロック,1250061,東京都葛飾区,亀有２－３３－１３,5088809065,グループホーム　結,1250061,東京都葛飾区,＊,5088809065,共同生活援助,1322202787,2020/12/1
営利法人,Bienestar株式会社,1830005,東京都府中市,若松町１－５－３６　２階,042-508-2850,グループホーム　ひまわり　柏町,1900004,東京都立川市,柏町４－４３－１　メゾン柏　B1．2号室,042-508-2850,共同生活援助,1322501394,2020/12/1
営利法人,合同会社まるためサポート,1570061,東京都世田谷区,北烏山９－１８－２７－１０３号,8044216722,まるため福祉事業所,1870032,東京都小平市,小川町１－５１７－１４,042-537-8685,共同生活援助,1322501402,2020/12/1
非営利法人（ＮＰＯ）,特定非営利活動法人ファーストステップ,1820023,東京都調布市,染地３－１－９４６,042-426-4223,ウィルステップ,1820013,東京都調布市,深大寺南町４－４－５,042-444-3550,共同生活援助,1323101251,2020/12/1
その他,合同会社親和,1430014,東京都大田区,大森中２－１５－５,03-6876-2738,ウィズライフ,1460085,東京都大田区,久が原３－１１－９,03-6410-5038,共同生活援助,1321103614,2021/1/1
社団・財団,一般社団法人ステラビーテ,1670054,東京都杉並区,松庵３－２５－１４,03-5941-3135,サキステラホーム,1670054,東京都杉並区,松庵３－２５－１４,03-5941-3135,共同生活援助,1321503128,2021/1/1
営利法人,桝屋米穀株式会社,1901222,東京都西多摩郡瑞穂町,箱根ケ崎東松原８番地９,042-556-1899,障がい者グループホーム　ｱｳﾞｪﾆｰﾙ,1980032,東京都青梅市,野上町２－２７９－１３,7014706072,共同生活援助,1322800895,2021/1/1
社団・財団,一般社団法人ビーンズ,1010054,東京都千代田区,神田錦町１-１４-３,03-6383-3101,マメッソ府中,1830057,東京都府中市,＊,8034001939,共同生活援助,1322901552,2021/1/1
社会福祉法人（社協以外）,社会福祉法人まちのひ,1940021,東京都町田市,中町２－２１－８,042-794-6155,はくほうホーム,1940202,東京都町田市,下小山田町２７２８－４,042-794-8581,共同生活援助,1323202497,2021/1/1
営利法人,株式会社ケアサポート・ウィン,1690072,東京都新宿区,大久保２－５－２２,03-6302-1080,ハウス・ウィン日野,1910034,東京都日野市,＊,042-506-9395,共同生活援助,1323501310,2021/1/1
社団・財団,一般財団法人星輪会,1530063,東京都目黒区,目黒２－１０－８　青山ビル５Ｆ,03-5759-3225,グループホーム星の輪,2060024,東京都多摩市,諏訪５－７－２,03-5759-3225,共同生活援助,1324700762,2021/1/1
社会福祉法人（社協以外）,社会福祉法人正夢の会,2060822,東京都稲城市,坂浜１９５１番地の５,042-350-3100,クリヴェール日の出,1900182,東京都西多摩郡日の出町,大字平井２４０番８,042-597-8633,共同生活援助,1325200168,2021/1/1
営利法人,株式会社アルファクロス,1050004,東京都港区,新橋３－２６－４,03-5711-7100,コージネスホーム,1460094,東京都大田区,東矢口１－１５－１７,03-6428-7393,共同生活援助,1321103622,2021/2/1
営利法人,株式会社コノヒカラ,1600022,東京都新宿区,新宿２－１２－１３　新宿アントレサロンビル２階,03-5358-9351,グループホームコノヒカラ,1710044,東京都豊島区,＊,03-5358-9351,共同生活援助,1321601609,2021/2/1
社団・財団,一般社団法人ここの空,1780061,東京都練馬区,大泉学園町５－１８－３６,7038487685,グループホームここの園,1790085,東京都練馬区,＊,7038487685,共同生活援助,1322004084,2021/2/1
社会福祉法人（社協以外）,社会福祉法人ハッピーネット,3380831,埼玉県さいたま市桜区,南元宿２－６－２２,048-767-3822,ゆめの園上宿ホーム,1790081,東京都練馬区,北町２－３０－５,03-6912-3210,共同生活援助,1322004092,2021/2/1
社会福祉法人（社協以外）,社会福祉法人共慈会,1340085,東京都江戸川区,南葛西７－２－３,03-3686-4477,グループホーム　虹の風,1330065,東京都江戸川区,＊,9098377592,共同生活援助,1322304112,2021/2/1
営利法人,株式会社はっぴーライフ,1800002,東京都武蔵野市,吉祥寺東町１－１７－１８,0422-28-5051,ちゃお小金井中町,1840012,東京都小金井市,中町１－９－１２,042-316-1120,共同生活援助,1323300689,2021/2/1
営利法人,KMRE関東株式会社,1850011,東京都国分寺市,本多３－１９－９,042-359-4676,KMRE多摩,1910061,東京都日野市,大坂上１－１６－２１,042-808-7550,共同生活援助,1323501328,2021/2/1
営利法人,ビーサイドユー株式会社,2040024,東京都清瀬市,梅園３－４－２５,042-497-2395,ビーハウス東久留米,2030042,東京都東久留米市,八幡町２－５－２０,042-497-2395,共同生活援助,1324500873,2021/2/1
社会福祉法人（社協以外）,社会福祉法人清峰会,9618061,福島県西白河郡西郷村,大字小田倉字大清水３８９－５,0248-25-1881,浅草みらいど「フォレスト」,1110024,東京都台東区,今戸２－１４－３,03-5824-5630,共同生活援助,1320600651,2021/3/1
社会福祉法人（社協以外）,社会福祉法人墨田さんさん会,1310043,東京都墨田区,立花４－３０－１６,03-5631-3305,ほーむきらきら星,1310031,東京都墨田区,墨田２－１４－４,03-6657-0920,共同生活援助,1320701228,2021/3/1
営利法人,株式会社レジデンストーキョー,1510053,東京都渋谷区,代々木１-５５-１４,03-6300-4950,フローリッシュハウス　大森町,1430014,東京都大田区,＊,03-6404-6561,共同生活援助,1321103630,2021/3/1
社団・財団,一般社団法人Ｌａ　Ｆａｍｉｌｌｅ,1460082,東京都大田区,池上６－２２－２,03-6410-5443,メゾン・ド・ファミーユ,1460082,東京都大田区,池上６-２２-２　メゾン・ド・ファミーユ１階,03-6410-5441,共同生活援助,1321103648,2021/3/1
営利法人,イノセンス株式会社,1560054,東京都世田谷区,桜丘３－１－２,03-6804-4537,シェリルハウス世田谷,1570072,東京都世田谷区,祖師谷６－３２－１３,03-6319-2727,共同生活援助,1321204800,2021/3/1
社会福祉法人（社協以外）,社会福祉法人さざんかの会,1150043,東京都北区,神谷２－１７－２,03-3903-3942,らららたきのがわ,1140023,東京都北区,滝野川３－５３－１０,03-6903-4746,共同生活援助,1321702035,2021/3/1
非営利法人（ＮＰＯ）,特定非営利活動法人すまいる,1930814,東京都八王子市,泉町１１６９－２７,042-623-7736,グループホームあっぷ,1920904,東京都八王子市,子安町二丁目１５－７,042-623-7736,共同生活援助,1322404540,2021/3/1
営利法人,株式会社ケアサポート・ウィン,1690072,東京都新宿区,大久保２－５－２２,03-6302-1080,ハウス・ウィン立川,1900004,東京都立川市,＊,042-537-9780,共同生活援助,1322501410,2021/3/1
社会福祉法人（社協以外）,社会福祉法人睦月会,1860012,東京都国立市,泉３－３０－５,042-571-1115,Life　Design　つむぎ,1800021,東京都武蔵野市,桜堤１-９-６,0422-38-5646,共同生活援助,1322600782,2021/3/1
社団・財団,一般社団法人コア,1750092,東京都板橋区,赤塚３－２１－９,03-5968-3555,アライブホーム,1980001,東京都青梅市,＊,0428-84-2901,共同生活援助,1322800903,2021/3/1
社会福祉法人（社協以外）,社会福祉法人聖ヨハネ会,1840005,東京都小金井市,桜町１－３－２２,042-384-4403,緑町聖ヨハネケアービレッジ,1840003,東京都小金井市,緑町４-５-１０,042-401-1237,共同生活援助,1323300697,2021/3/1
営利法人,株式会社オレンジの風,1920362,東京都八王子市,松木８０番地７-２-１１０３,9098247408,みかんの樹,1910043,東京都日野市,平山６-４３-２７,042-594-9018,共同生活援助,1323501336,2021/3/1
社会福祉法人（社協以外）,社会福祉法人おおぞら,1910065,東京都日野市,旭が丘２－４２－５,042-589-1818,グループホームしえろ,1910065,東京都日野市,旭が丘１－１２－１３,042-506-2366,共同生活援助,1323501344,2021/3/1
地方公共団体（市町村）,大田区,1448621,東京都大田区,蒲田５－１３－１４,03-5728-9133,大田区立つばさホーム前の浦,1430013,東京都大田区,大森南２-１５-１（４階）,03-5737-0771,共同生活援助,1321103663,2021/4/1
