No.,申請者名称,事業所番号,枝番／ 連番,事業所名称,事業所郵便番号,事業所所在地,事業所電話番号,事業所FAX番号,共同生活住居名称,共同生活住居〒,共同生活住居所在地,主たる対象者(身体障害者),主たる対象者(知的障害者),主たる対象者(精神障害者),主たる対象者(難病等対象者),異動年月日,異動区分,施設等の区分,利用定員数
688,社会福祉法人日本失明者協会,1124600436,1,むさし静光園,3660811,埼玉県深谷市人見２０４９－１,048-573-5222,048-573-6633,むさし静光園,3660811,埼玉県深谷市人見２０４９－１,○,×,×,×,2021/4/1,変更,1:介護サービス包括型,10
689,社会福祉法人日本失明者協会,1124600436,2,むさし静光園,3660811,埼玉県深谷市人見２０４９－１,048-573-5222,048-573-6633,熊谷ライトハウス,3600001,埼玉県熊谷市上中条字前７２７－１,○,×,×,×,2021/4/1,変更,1:介護サービス包括型,10
690,社会福祉法人昴,1124600444,1,共同生活ホーム　とまり木,3690213,埼玉県深谷市針ケ谷１１６７－２,048-578-8511,048-578-851,とまり木,3690213,埼玉県深谷市針ケ谷１１６７－２,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,6
691,社会福祉法人昴,1124600444,2,共同生活ホーム　とまり木,3690213,埼玉県深谷市針ケ谷１１６７－２,048-578-8511,048-578-851,カンパーニュ,3690201,埼玉県深谷市岡字新田下２６３０番２,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,5
692,社会福祉法人埼玉のぞみの園,1124600469,1,のぞみの園ホーム,3660041,埼玉県深谷市東方３７２２－１,048-578-7882,048-578-7882,のぞみの園１号館,3660041,埼玉県深谷市東方３７２２－１,○,○,×,×,2021/4/1,変更,1:介護サービス包括型,9
693,社会福祉法人埼玉のぞみの園,1124600469,2,のぞみの園ホーム,3660041,埼玉県深谷市東方３７２２－１,048-578-7882,048-578-7882,のぞみの園２号館,3660041,埼玉県深谷市東方３７２２－１,○,○,×,×,2021/4/1,変更,1:介護サービス包括型,9
694,社会福祉法人埼玉のぞみの園,1124600469,3,のぞみの園ホーム,3660041,埼玉県深谷市東方３７２２－１,048-578-7882,048-578-7882,とびたホーム,3691108,埼玉県深谷市田中５９３,○,○,×,×,2021/4/1,変更,1:介護サービス包括型,7
695,社会福祉法人埼玉のぞみの園,1124600469,4,のぞみの園ホーム,3660041,埼玉県深谷市東方３７２２－１,048-578-7882,048-578-7882,KASUGAホーム,3691108,埼玉県深谷市田中２３２０－４,○,○,×,×,2021/4/1,変更,1:介護サービス包括型,6
696,社会福祉法人埼玉のぞみの園,1124600469,5,のぞみの園ホーム,3660041,埼玉県深谷市東方３７２２－１,048-578-7882,048-578-7882,上柴ホーム,3660052,埼玉県深谷市上芝町西３丁目５番２,○,○,×,×,2021/4/1,変更,1:介護サービス包括型,7
697,特定非営利活動法人まきの木福祉会,1124600477,1,ふれんず館,3691246,埼玉県深谷市小前田２６７６－６,048-584-3781,048-584-5487,ふれんず館,3691246,埼玉県深谷市小前田２６７６－６,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,10
698,特定非営利活動法人一心福祉会,1124600493,1,グループホーム東方,3660041,埼玉県深谷市東方２０２３,048-574-4506,048-577-8013,東方ホーム,3660041,埼玉県深谷市東方２０２３,○,○,○,×,2021/4/1,変更,1:介護サービス包括型,9
699,特定非営利活動法人一心福祉会,1124600493,2,グループホーム東方,3660041,埼玉県深谷市東方２０２３,048-574-4506,048-577-8013,田嶋ホーム,3660041,埼玉県深谷市東方２０２３,○,○,○,×,2021/4/1,変更,1:介護サービス包括型,6
700,特定非営利活動法人一美福祉会,1124600501,1,ケアホーム柿の木,3660021,埼玉県深谷市上増田８２番地２,048-571-6135,048-571-6135,ケアホーム柿の木,3660021,埼玉県深谷市上増田８２番地２,○,○,○,×,2021/4/1,変更,1:介護サービス包括型,10
701,特定非営利活動法人一美福祉会,1124600501,2,ケアホーム柿の木,3660021,埼玉県深谷市上増田８２番地２,048-571-6135,048-571-6135,ケアホーム柿の葉,3660041,埼玉県深谷市東方1727番地8,○,○,○,×,2021/4/1,変更,1:介護サービス包括型,3
702,特定非営利活動法人ライフサポート,1124600535,1,グットライフ,3690211,埼玉県深谷市岡部２０１４番地１,048-585-4976,048-585-4976,グットライフ,3690211,埼玉県深谷市岡部２０１４番地１,○,○,○,×,2021/4/1,変更,1:介護サービス包括型,9
703,特定非営利活動法人ライフサポート,1124600535,2,グットライフ,3690211,埼玉県深谷市岡部２０１４番地１,048-585-4976,048-585-4976,グットライフⅡ,3690217,埼玉県深谷市山河１０５４番地１,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
704,特定非営利活動法人ライフサポート,1124600535,3,グットライフ,3690211,埼玉県深谷市岡部２０１４番地１,048-585-4976,048-585-4976,グットライフⅢ,3690211,埼玉県深谷市岡部２０１４番地１,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,2
705,ヒューマン有限会社,1124600642,1,グループホームビッグ,3660051,埼玉県深谷市上柴町東三丁目５番地１,048-551-0036,048-573-8827,グループホームビッグ,3660051,埼玉県深谷市上柴町東三丁目５番地１,○,○,○,×,2021/4/1,変更,1:介護サービス包括型,18
706,ヒューマン有限会社,1124600642,2,グループホームビッグ,3660051,埼玉県深谷市上柴町東三丁目５番地１,048-551-0036,048-573-8827,グループホームビッグきぼう２,3691108,埼玉県深谷市田中２９４５－５,○,○,○,×,2021/4/1,変更,1:介護サービス包括型,7
707,ヒューマン有限会社,1124600642,3,グループホームビッグ,3660051,埼玉県深谷市上柴町東三丁目５番地１,048-551-0036,048-573-8827,グループホームビッグきぼう３,3691108,埼玉県深谷市田中２９４５－５,○,○,○,×,2021/4/1,変更,1:介護サービス包括型,7
708,社会福祉法人若あゆの会,1124600709,1,グループホーム若あゆ,3691241,埼玉県深谷市武蔵野706-1,048-584-4780,048-584-4780,グループホーム若あゆ,3691241,埼玉県深谷市武蔵野706-1,○,○,×,×,2021/4/1,変更,1:介護サービス包括型,10
709,特定非営利活動法人ＮｏＳｉｄｅ,1124600790,1,グループホームNo Side,3660818,埼玉県深谷市萱場４３２番１,048-578-1011,048-578-1011,すまいる,3660818,埼玉県深谷市萱場４３２番１の１,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,6
710,特定非営利活動法人ＮｏＳｉｄｅ,1124600790,2,グループホームNo Side,3660818,埼玉県深谷市萱場４３２番１,048-578-1011,048-578-1011,トライ,3660818,埼玉県深谷市萱場４３２番１の２,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,6
711,特定非営利活動法人ＮｏＳｉｄｅ,1124600790,3,グループホームNo Side,3660818,埼玉県深谷市萱場４３２番１,048-578-1011,048-578-1011,スクラム　,3660818,埼玉県深谷市萱場４３２－１,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,6
713,社会福祉法人ふかや精神保健福祉の会まゆだま,1124600824,2,グループホーム「桑ねっこ」,3660054,埼玉県深谷市緑ヶ丘３－９フジハイツ（１０５号）,048-574-8084,048-574-8084,シェアハウス「こかげ」,3660025,埼玉県深谷市寿町２２１番地ティーズＡＯＫＩ　Ｂ棟（１０７号）,×,×,○,×,2021/4/1,変更,2:外部サービス利用型,5
714,特定非営利活動法人そうだんべ,1124600865,1,グループホーム　かみひこうき,3660019,埼玉県深谷市新戒357番地1,048-587-0070,048-587-0070,グループホーム　かみひこうき,3660019,埼玉県深谷市新戒357番地1,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,7
716,特定非営利活動法人パワーフィールド,1124600899,1,グループホームさんさん,3660019,埼玉県深谷市新戒３３５番地４,048-598-4502,048-594-6466,グループホーム　さんさん,3660019,埼玉県深谷市新戒３３５番地４,○,○,○,×,2021/4/1,変更,1:介護サービス包括型,6
717,株式会社きさらぎ,1124600923,1,グループホームにこにこ,3660052,埼玉県深谷市上柴町西５丁目１７番地１１アーバン金光Ｂ棟１０５,048-579-5461,048-579-5471,グループホームにこにこ,3660052,埼玉県深谷市上柴町西５丁目１７番地１１アーバン金光Ｂ棟１０５号,○,○,○,×,2021/4/1,変更,1:介護サービス包括型,5
718,株式会社ダイヤモンド,1124601004,1,グループホームビッグ,3660041,埼玉県深谷市東方２０７８番地１,048-551-0036,048-573-6464,グループホームビッグきぼう４,3660041,埼玉県深谷市東方２０７８－１,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,3
719,株式会社ダイヤモンド,1124601004,2,グループホームビッグ,3660041,埼玉県深谷市東方２０７８番地１,048-551-0036,048-573-6464,グループホームビッグきぼう５,3660041,埼玉県深谷市東方２０７８－１,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,3
720,株式会社ダイヤモンド,1124601004,3,グループホームビッグ,3660041,埼玉県深谷市東方２０７８番地１,048-551-0036,048-573-6464,グループホームビッグきぼう６,3660041,埼玉県深谷市東方２０７８－１,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,3
721,株式会社ダイヤモンド,1124601004,4,グループホームビッグ,3660041,埼玉県深谷市東方２０７８番地１,048-551-0036,048-573-6464,グループホームビッグきぼう７,3660041,埼玉県深谷市東方２０７８－１,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,3
722,株式会社ダイヤモンド,1124601004,5,グループホームビッグ,3660041,埼玉県深谷市東方２０７８番地１,048-551-0036,048-573-6464,グループホームビッグきぼう８,3660041,埼玉県深谷市東方２０７８－１,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,3
723,株式会社ダイヤモンド,1124601004,6,グループホームビッグ,3660041,埼玉県深谷市東方２０７８番地１,048-551-0036,048-573-6464,グループホームビッグきぼう９,3660041,埼玉県深谷市東方２０７８－１,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,3
724,株式会社恵,1124601038,1,グループホームふわふわ深谷,3690201,埼玉県深谷市岡2546番地2,048-594-7813,048-594-7814,グループホームふわふわ深谷Ａ,3690201,埼玉県深谷市岡2546番地2　1階,○,○,○,○,2021/4/1,変更,3:日中サービス支援型,10
725,株式会社恵,1124601038,2,グループホームふわふわ深谷,3690201,埼玉県深谷市岡2546番地2,048-594-7813,048-594-7814,グループホームふわふわ深谷Ｂ,3690201,埼玉県深谷市岡2546番地2　2階,○,○,○,○,2021/4/1,変更,3:日中サービス支援型,10
726,特定非営利活動法人ライフサポート,1124601046,1,グットサンムーン,3660052,埼玉県深谷市上柴町西3丁目20番地13,048-575-0119,048-575-0119,サン,3660052,埼玉県深谷市上柴町西3丁目20番地13,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
727,特定非営利活動法人ライフサポート,1124601046,2,グットサンムーン,3660052,埼玉県深谷市上柴町西3丁目20番地13,048-575-0119,048-575-0119,ムーン,3660052,埼玉県深谷市上柴町西3丁目20番地13,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
728,一般社団法人トライワークス,1124601053,1,穂の香,3660823,埼玉県深谷市本住町８番３０号,048-598-7531,048-598-7532,穂の香　東棟,3660823,埼玉県深谷市本住町８番３０号,○,○,○,×,2021/4/1,変更,3:日中サービス支援型,9
729,一般社団法人トライワークス,1124601053,2,穂の香,3660823,埼玉県深谷市本住町８番３０号,048-598-7531,048-598-7532,穂の香　西棟,3660823,埼玉県深谷市本住町８番３０号,○,○,○,×,2021/4/1,変更,3:日中サービス支援型,9
732,株式会社ふかりこ,1124601079,1,グループホームマイカ,3660001,埼玉県深谷市中瀬２６８番地２,048-598-8181,048-598-8181,グループホームマイカ,3660001,埼玉県深谷市中瀬２６８番地２,×,○,○,○,2021/4/1,新規,1:介護サービス包括型,7
734,ＮＰＯ法人小鹿の夢,1124860105,1,星降る下で,3680202,埼玉県秩父郡小鹿野町両神小森８０－１,050-75660481,050-75660481,星降る下で,3680202,埼玉県秩父郡小鹿野町両神小森８０－１,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,7
735,ＮＰＯ法人小鹿の夢,1124860105,2,星降る下で,3680202,埼玉県秩父郡小鹿野町両神小森８０－１,050-75660481,050-75660481,青の畔,3691901,埼玉県秩父市大滝１２４８－３,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,10
736,社会福祉法人清心会,1124900018,1,グループホームさやか,3680005,埼玉県秩父市大野原８０－７１,0494-25-0061,0494-25-0061,サンヒルズホームほし,3680005,埼玉県秩父市大野原８０－７１,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,6
737,社会福祉法人清心会,1124900018,2,グループホームさやか,3680005,埼玉県秩父市大野原８０－７１,0494-25-0061,0494-25-0061,さやかホーム,3680005,埼玉県秩父市大野原９７６,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,3
738,社会福祉法人清心会,1124900018,5,グループホームさやか,3680005,埼玉県秩父市大野原８０－７１,0494-25-0061,0494-25-0061,りんごホーム,3680004,埼玉県秩父市山田１８５０－７,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,5
739,社会福祉法人清心会,1124900018,6,グループホームさやか,3680005,埼玉県秩父市大野原８０－７１,0494-25-0061,0494-25-0061,サンヒルズホームそら,3680005,埼玉県秩父市大野原８０－７０,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,6
740,社会福祉法人清心会,1124900018,7,グループホームさやか,3680005,埼玉県秩父市大野原８０－７１,0494-25-0061,0494-25-0061,フレグランスホーム,3680005,埼玉県秩父市大野原１１４７－１,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,4
741,社会福祉法人清心会,1124900018,8,グループホームさやか,3680005,埼玉県秩父市大野原８０－７１,0494-25-0061,0494-25-0061,きりきホーム,3680005,埼玉県秩父市大野原１９２３－９,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,6
742,社会福祉法人清心会,1124900018,9,グループホームさやか,3680005,埼玉県秩父市大野原８０－７１,0494-25-0061,0494-25-0061,さんさんホーム,3680004,埼玉県秩父市山田５５９－７,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,5
743,社会福祉法人清心会,1124900018,10,グループホームさやか,3680005,埼玉県秩父市大野原８０－７１,0494-25-0061,0494-25-0061,ぴーす,3680034,埼玉県秩父市日野田町1-5-4,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,8
744,社会福祉法人清心会,1124900018,11,グループホームさやか,3680005,埼玉県秩父市大野原８０－７１,0494-25-0061,0494-25-0061,ひかり,3680016,埼玉県秩父市阿保町１０－２３,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,6
745,社会福祉法人清心会,1124900018,12,グループホームさやか,3680005,埼玉県秩父市大野原８０－７１,0494-25-0061,0494-25-0061,つばさ,3680056,埼玉県秩父市寺尾１８９３－３,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,7
746,社会福祉法人清心会,1124900018,13,グループホームさやか,3680005,埼玉県秩父市大野原８０－７１,0494-25-0061,0494-25-0061,やまびこ,3680062,埼玉県秩父市蒔田２５７０－８,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,7
747,社会福祉法人清心会,1124900018,14,グループホームさやか,3680005,埼玉県秩父市大野原８０－７１,0494-25-0061,0494-25-0061,サンライズ中町,3680043,埼玉県秩父市中町１９－２,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,6
748,社会福祉法人清心会,1124900018,15,グループホームさやか,3680005,埼玉県秩父市大野原８０－７１,0494-25-0061,0494-25-0061,銀河,3680002,埼玉県秩父市栃谷８９９－３,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,7
749,社会福祉法人清心会,1124900018,16,グループホームさやか,3680005,埼玉県秩父市大野原８０－７１,0494-25-0061,0494-25-0061,きらきらホーム,3680004,埼玉県秩父市山田５５９－８,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,4
750,社会福祉法人清心会,1124900018,17,グループホームさやか,3680005,埼玉県秩父市大野原８０－７１,0494-25-0061,0494-25-0061,すい星,3680002,埼玉県秩父市栃谷８９６－６,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,6
751,社会福祉法人清心会,1124900018,18,グループホームさやか,3680005,埼玉県秩父市大野原８０－７１,0494-25-0061,0494-25-0061,下宿屋Ｒ２０,3680045,埼玉県秩父市道生町８－１５,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,4
752,社会福祉法人清心会,1124900018,19,グループホームさやか,3680005,埼玉県秩父市大野原８０－７１,0494-25-0061,0494-25-0061,下宿屋くまさん,3680032,埼玉県秩父市熊木町１２－２１,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,5
753,社会福祉法人清心会,1124900018,20,グループホームさやか,3680005,埼玉県秩父市大野原８０－７１,0494-25-0061,0494-25-0061,かがやき,3691871,埼玉県秩父市下影森９９７－１,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,6
754,社会福祉法人清心会,1124900018,21,グループホームさやか,3680005,埼玉県秩父市大野原８０－７１,0494-25-0061,0494-25-0061,こまち,3680045,埼玉県秩父市道生町１８番２号,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,6
755,医療法人全和会,1124900026,1,日の出,3691871,埼玉県秩父市下影森９１０番地４号,0494-24-5553,0494-24-5598,日の出,3691871,埼玉県秩父市下影森９１０番地４号１０１,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,2
756,医療法人全和会,1124900026,2,日の出,3691871,埼玉県秩父市下影森９１０番地４号,0494-24-5553,0494-24-5598,日の出,3691871,埼玉県秩父市下影森９１０番地４号１０３,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,2
757,医療法人全和会,1124900026,3,日の出,3691871,埼玉県秩父市下影森９１０番地４号,0494-24-5553,0494-24-5598,日の出,3691871,埼玉県秩父市下影森９１０番地４号１０４,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,2
758,医療法人全和会,1124900026,4,日の出,3691871,埼玉県秩父市下影森９１０番地４号,0494-24-5553,0494-24-5598,日の出,3691871,埼玉県秩父市下影森９１０番地４号２０１,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,2
759,医療法人全和会,1124900026,5,日の出,3691871,埼玉県秩父市下影森９１０番地４号,0494-24-5553,0494-24-5598,日の出,3691871,埼玉県秩父市下影森９１０番地４号２０２,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,2
760,医療法人全和会,1124900026,6,日の出,3691871,埼玉県秩父市下影森９１０番地４号,0494-24-5553,0494-24-5598,日の出,3691871,埼玉県秩父市下影森９１０番地４号２０３,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,2
761,医療法人全和会,1124900026,7,日の出,3691871,埼玉県秩父市下影森９１０番地４号,0494-24-5553,0494-24-5598,日の出,3691871,埼玉県秩父市下影森９１０番地４号２０４,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,2
762,医療法人全和会,1124900026,8,日の出,3691871,埼玉県秩父市下影森９１０番地４号,0494-24-5553,0494-24-5598,日の出（横瀬）,3680072,埼玉県秩父郡横瀬町横瀬字拾四番５８１１番地１,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,2
763,医療法人全和会,1124900026,9,日の出,3691871,埼玉県秩父市下影森９１０番地４号,0494-24-5553,0494-24-5598,日の出（横瀬）,3680072,埼玉県秩父郡横瀬町横瀬字拾四番５８１１番地１,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,2
764,医療法人全和会,1124900026,10,日の出,3691871,埼玉県秩父市下影森９１０番地４号,0494-24-5553,0494-24-5598,日の出（横瀬）,3680072,埼玉県秩父郡横瀬町横瀬字拾四番５８１１番地１,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,2
765,医療法人全和会,1124900026,11,日の出,3691871,埼玉県秩父市下影森９１０番地４号,0494-24-5553,0494-24-5598,日の出（横瀬）,3680072,埼玉県秩父郡横瀬町横瀬字拾四番５８１１番地１,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,2
766,医療法人全和会,1124900026,12,日の出,3691871,埼玉県秩父市下影森９１０番地４号,0494-24-5553,0494-24-5598,日の出（横瀬）,3680072,埼玉県秩父郡横瀬町横瀬字拾四番５８１１番地１,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,2
767,特定非営利活動法人みやび,1124900141,1,グループホームみやび,3680061,埼玉県秩父市小柱６７８,0494-62-6823,0494-62-6823,グループホームみやび,3680061,埼玉県秩父市小柱６７８,○,○,×,×,2021/4/1,変更,1:介護サービス包括型,9
768,特定非営利活動法人障がい者自立支援自立工房山叶本舗,1124900182,1,グループホーム　ステップ,3680053,埼玉県秩父市久那１６２９番地,0494-23-4871,0494-23-4884,グループホーム　ステップ,3680053,埼玉県秩父市久那１６２９番地,×,○,○,×,2021/4/1,変更,2:外部サービス利用型,7
769,社会福祉法人清心会,1124900208,1,地域移行型ホームさやか,3680004,埼玉県秩父市山田１１９９番地２,0494-24-9956,0494-22-7910,ぽてとハウス,3680004,埼玉県秩父市山田１１９９番地２,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,7
770,株式会社Ｍ＆Ｓパートナーズ,1125100519,1,グループホームにいざの智,3520015,埼玉県新座市池田3-7-16,048-483-8844,048-483-8845,グループホームにいざの智,3520015,埼玉県新座市池田3-7-16,×,○,○,×,2021/4/1,変更,3:日中サービス支援型,10
771,株式会社あおいの杜,1125100667,1,かいとホーム,3520012,埼玉県新座市畑中二丁目８番４号,0703817-3092,048-485-8869,かいとホーム１,3520012,埼玉県新座市畑中二丁目８番４号,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
772,株式会社あおいの杜,1125100667,2,かいとホーム,3520012,埼玉県新座市畑中二丁目８番４号,0703817-3092,048-485-8869,かいとホーム２,3520015,埼玉県新座市池田三丁目４番１８号,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
773,株式会社あおいの杜,1125100667,3,かいとホーム,3520012,埼玉県新座市畑中二丁目８番４号,0703817-3092,048-485-8869,かいとホーム３,3520015,埼玉県新座市池田三丁目４番２０－１号,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
774,株式会社あおいの杜,1125100667,4,かいとホーム,3520012,埼玉県新座市畑中二丁目８番４号,0703817-3092,048-485-8869,かいとホーム４,3520034,埼玉県新座市野寺三丁目１３番３号,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
775,株式会社あおいの杜,1125100667,5,かいとホーム,3520012,埼玉県新座市畑中二丁目８番４号,0703817-3092,048-485-8869,かいとホーム５,3520033,埼玉県新座市石神二丁目１番２号,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
776,社会福祉法人　新座市障害者を守る会,1125100691,1,かなで,3520023,埼玉県新座市堀ノ内１丁目３番１０号,048-480-4800,,かなで,3520023,埼玉県新座市堀ノ内１丁目３番１０号,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,10
778,ソーシャルインクルー株式会社,1125100766,1,ソーシャルインクルーホーム新座野寺,3520034,埼玉県新座市野寺一丁目３番１８号,048-424-7208,048-424-7202,ソーシャルインクルーホーム新座野寺Ⅰ,3520034,埼玉県新座市野寺一丁目３番１８号,○,○,○,×,2021/4/1,変更,3:日中サービス支援型,10
779,ソーシャルインクルー株式会社,1125100766,2,ソーシャルインクルーホーム新座野寺,3520034,埼玉県新座市野寺一丁目３番１８号,048-424-7208,048-424-7202,ソーシャルインクルーホーム新座野寺Ⅱ,3520034,埼玉県新座市野寺一丁目３番１８号,○,○,○,×,2021/4/1,変更,3:日中サービス支援型,10
780,株式会社日本クリード,1125100774,1,クリード新座,3520017,埼玉県新座市菅沢２丁目６－１５,048-423-6130,048-423-6133,クリード新座　ユニット１,3520017,埼玉県新座市菅沢２丁目６－１５,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,10
781,株式会社日本クリード,1125100774,2,クリード新座,3520017,埼玉県新座市菅沢２丁目６－１５,048-423-6130,048-423-6133,クリード新座　ユニット２,3520017,埼玉県新座市菅沢２丁目６－１５,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,10
782,株式会社日本クリード,1125100774,3,クリード新座,3520017,埼玉県新座市菅沢２丁目６－１５,048-423-6130,048-423-6133,クリード新座　ユニット３,3520017,埼玉県新座市菅沢２丁目６－１５,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,10
784,社会福祉法人彩明会,1125200012,1,グループホーム　みのりの家,3630007,埼玉県桶川市小針領家１４１－４,048-728-0113,048-728-0113,グループホームみのりの家小針領家,3630007,埼玉県桶川市小針領家１４１－４,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,5
785,社会福祉法人彩明会,1125200012,2,グループホーム　みのりの家,3630007,埼玉県桶川市小針領家１４１－４,048-728-0113,048-728-0113,グループホームみのりの家坂田,3630008,埼玉県桶川市坂田７７７－１,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,5
786,社会福祉法人彩明会,1125200012,3,グループホーム　みのりの家,3630007,埼玉県桶川市小針領家１４１－４,048-728-0113,048-728-0113,グループホームみのりの家倉田Ａ号棟,3630006,埼玉県桶川市倉田５２０－３,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,5
787,社会福祉法人彩明会,1125200012,4,グループホーム　みのりの家,3630007,埼玉県桶川市小針領家１４１－４,048-728-0113,048-728-0113,グループホームみのりの家倉田Ｂ号棟,3630006,埼玉県桶川市倉田５２０－１,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,6
788,社会福祉法人彩明会,1125200012,5,グループホーム　みのりの家,3630007,埼玉県桶川市小針領家１４１－４,048-728-0113,048-728-0113,グループホームみのりの家坂田東,3630009,埼玉県桶川市坂田東１－１８－６,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,4
789,社会福祉法人彩明会,1125200012,6,グループホーム　みのりの家,3630007,埼玉県桶川市小針領家１４１－４,048-728-0113,048-728-0113,グループホームみのりの家西小針,3620811,埼玉県北足立郡伊奈町西小針５－１９,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,4
790,社会福祉法人彩明会,1125200012,7,グループホーム　みのりの家,3630007,埼玉県桶川市小針領家１４１－４,048-728-0113,048-728-0113,グループホームみのりの家　加納１,3630001,埼玉県桶川市加納西５９５,○,○,×,×,2021/4/1,変更,1:介護サービス包括型,5
791,社会福祉法人彩明会,1125200012,8,グループホーム　みのりの家,3630007,埼玉県桶川市小針領家１４１－４,048-728-0113,048-728-0113,グループホームみのりの家　加納2,3630001,埼玉県桶川市加納西５９５,○,○,×,×,2021/4/1,変更,1:介護サービス包括型,5
792,特定非営利活動法人ばんどねおん,1125200178,1,さやえんどうホーム,3630021,埼玉県桶川市泉二丁目１９番８号,048-782-4568,048-782-4568,さやえんどうホーム,3630021,埼玉県桶川市泉二丁目１９番８号,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,9
795,社会福祉法人みぬま福祉会,1125700011,1,ケアホーム　サンライズ,3490115,埼玉県蓮田市蓮田五丁目１３５番地グランハイム誠Ｃ－１０１,048-769-8800,048-769-8800,第一サンライズA,3490115,"埼玉県蓮田市蓮田五丁目１３５番地ｸﾞﾗﾝﾊｲﾑ誠Ｃ-101､102,103",×,○,×,×,2021/4/1,変更,1:介護サービス包括型,8
796,社会福祉法人みぬま福祉会,1125700011,3,ケアホーム　サンライズ,3490115,埼玉県蓮田市蓮田五丁目１３５番地グランハイム誠Ｃ－１０１,048-769-8800,048-769-8800,第一サンライズＣ,3490115,埼玉県蓮田市蓮田五丁目１３５番地グランハイム誠Ｃ－２０３,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,4
797,社会福祉法人みぬま福祉会,1125700011,4,ケアホーム　サンライズ,3490115,埼玉県蓮田市蓮田五丁目１３５番地グランハイム誠Ｃ－１０１,048-769-8800,048-769-8800,第二サンライズＤ,3490115,埼玉県蓮田市蓮田五丁目１４８番地ジュネパレス１０１、１０３号室,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,3
